"File","RelativePath","Line","Column"
"StdDev.Tests.cs","lib\statistics\stddev\StdDev.Tests.cs","241","9"
"StdDev.Tests.cs","lib\statistics\stddev\StdDev.Tests.cs","242","9"
"StdDev.Validation.Tests.cs","lib\statistics\stddev\StdDev.Validation.Tests.cs","249","9"
"StdDev.Validation.Tests.cs","lib\statistics\stddev\StdDev.Validation.Tests.cs","269","9"
"StdDev.Validation.Tests.cs","lib\statistics\stddev\StdDev.Validation.Tests.cs","375","9"
"StdDev.Validation.Tests.cs","lib\statistics\stddev\StdDev.Validation.Tests.cs","401","9"
"Sum.Tests.cs","lib\statistics\sum\Sum.Tests.cs","420","9"
"Sum.Tests.cs","lib\statistics\sum\Sum.Tests.cs","571","9"
"Sum.Tests.cs","lib\statistics\sum\Sum.Tests.cs","591","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","107","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","136","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","166","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","195","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","223","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","293","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","294","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","312","9"
"Sum.Validation.Tests.cs","lib\statistics\sum\Sum.Validation.Tests.cs","360","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","99","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","101","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","160","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","192","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","215","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","252","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","301","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","302","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","361","9"
"Variance.Tests.cs","lib\statistics\variance\Variance.Tests.cs","634","9"
"Variance.Validation.Tests.cs","lib\statistics\variance\Variance.Validation.Tests.cs","18","9"
"Variance.Validation.Tests.cs","lib\statistics\variance\Variance.Validation.Tests.cs","42","9"
"Variance.Validation.Tests.cs","lib\statistics\variance\Variance.Validation.Tests.cs","70","9"
"Variance.Validation.Tests.cs","lib\statistics\variance\Variance.Validation.Tests.cs","102","9"
"Alma.Tests.cs","lib\trends_FIR\alma\Alma.Tests.cs","274","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","47","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","48","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","69","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","70","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","95","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","96","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","120","9"
"Alma.Validation.Tests.cs","lib\trends_FIR\alma\Alma.Validation.Tests.cs","121","9"
"Blma.Tests.cs","lib\trends_FIR\blma\Blma.Tests.cs","48","9"
"Blma.Validation.Tests.cs","lib\trends_FIR\blma\Blma.Validation.Tests.cs","19","9"
"Blma.Validation.Tests.cs","lib\trends_FIR\blma\Blma.Validation.Tests.cs","66","17"
"Blma.Validation.Tests.cs","lib\trends_FIR\blma\Blma.Validation.Tests.cs","67","17"
"Blma.Validation.Tests.cs","lib\trends_FIR\blma\Blma.Validation.Tests.cs","68","17"
"Blma.Validation.Tests.cs","lib\trends_FIR\blma\Blma.Validation.Tests.cs","69","17"
"Blma.Validation.Tests.cs","lib\trends_FIR\blma\Blma.Validation.Tests.cs","70","17"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","53","9"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","77","9"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","102","9"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","140","9"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","152","9"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","169","9"
"Conv.Validation.Tests.cs","lib\trends_FIR\conv\Conv.Validation.Tests.cs","190","9"
"Dwma.Tests.cs","lib\trends_FIR\dwma\Dwma.Tests.cs","84","9"
"Dwma.Tests.cs","lib\trends_FIR\dwma\Dwma.Tests.cs","85","9"
"Dwma.Tests.cs","lib\trends_FIR\dwma\Dwma.Tests.cs","175","9"
"Dwma.Validation.Tests.cs","lib\trends_FIR\dwma\Dwma.Validation.Tests.cs","45","9"
"Dwma.Validation.Tests.cs","lib\trends_FIR\dwma\Dwma.Validation.Tests.cs","72","9"
"Hma.Tests.cs","lib\trends_FIR\hma\Hma.Tests.cs","244","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","33","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","49","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","51","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","67","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","68","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","127","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","128","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","152","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","153","9"
"Lsma.Tests.cs","lib\trends_FIR\lsma\Lsma.Tests.cs","198","9"
"Pwma.Tests.cs","lib\trends_FIR\pwma\Pwma.Tests.cs","360","9"
"Sma.Tests.cs","lib\trends_FIR\sma\Sma.Tests.cs","471","9"
"Sma.Tolerance.Tests.cs","lib\trends_FIR\sma\Sma.Tolerance.Tests.cs","22","9"
"Trima.Tolerance.Tests.cs","lib\trends_FIR\trima\Trima.Tolerance.Tests.cs","22","9"
"Wma.Coverage.Tests.cs","lib\trends_FIR\wma\Wma.Coverage.Tests.cs","12","9"
"Wma.Coverage.Tests.cs","lib\trends_FIR\wma\Wma.Coverage.Tests.cs","13","9"
"Wma.Coverage.Tests.cs","lib\trends_FIR\wma\Wma.Coverage.Tests.cs","30","9"
"Wma.Coverage.Tests.cs","lib\trends_FIR\wma\Wma.Coverage.Tests.cs","31","9"
"Wma.Coverage.Tests.cs","lib\trends_FIR\wma\Wma.Coverage.Tests.cs","78","9"
"Wma.Coverage.Tests.cs","lib\trends_FIR\wma\Wma.Coverage.Tests.cs","79","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","11","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","37","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","63","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","64","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","90","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","113","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","123","9"
